All Layer Optical Constants
Wavelength (nm)	e1, Ordinary, Biaxial	e1, Extra-ordinary, Biaxial	e2, Ordinary, Biaxial	e2, Extra-ordinary, Biaxial
708.000000	0.298492	53.977604	5.359182	115.244545	
709.000000	0.278239	54.701542	5.377120	115.423103	
710.000000	0.258042	55.437775	5.395149	115.581360	
711.000000	0.237900	56.185280	5.413270	115.719315	
712.000000	0.217816	56.943081	5.431479	115.837013	
713.000000	0.197788	57.710232	5.449779	115.934517	
714.000000	0.177817	58.485825	5.468167	116.011887	
715.000000	0.157903	59.268982	5.486642	116.069214	
716.000000	0.138046	60.058861	5.505205	116.106606	
717.000000	0.118246	60.854641	5.523854	116.124176	
718.000000	0.098505	61.655540	5.542588	116.122063	
719.000000	0.078821	62.460800	5.561407	116.100395	
720.000000	0.059195	63.269672	5.580310	116.059341	
721.000000	0.039627	64.081459	5.599297	115.999054	
722.000000	0.020117	64.895454	5.618365	115.919716	
723.000000	0.000666	65.711006	5.637516	115.821510	
